192.168.65.1 - - [29/Aug/2025:20:50:42 +0800] "GET /api/v1/page-views/admin/stats?days=7&_t=1756471842392 HTTP/1.1" 200 235 "http://localhost/admin/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" rt=0.156
192.168.65.1 - - [29/Aug/2025:20:50:45 +0800] "GET /api/v1/users/me?_t=1756471845066 HTTP/1.1" 200 677 "http://localhost/admin/profile" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" rt=0.013
192.168.65.1 - - [29/Aug/2025:20:50:45 +0800] "GET /api/v1/profile/media-profiles/86b134d4-829d-11f0-ab42-7a2e4a92be49?_t=1756471845650 HTTP/1.1" 200 158 "http://localhost/admin/profile" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" rt=0.008
192.168.65.1 - - [29/Aug/2025:20:51:04 +0800] "POST /api/v1/files/upload HTTP/1.1" 201 923 "http://localhost/admin/profile" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" rt=2.382
192.168.65.1 - - [29/Aug/2025:21:41:45 +0800] "GET /api/v1/docs HTTP/1.1" 301 162 "-" "curl/8.7.1" rt=0.000
192.168.65.1 - - [29/Aug/2025:21:42:12 +0800] "GET / HTTP/1.1" 200 942 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" rt=0.000
192.168.65.1 - - [29/Aug/2025:21:42:14 +0800] "GET /api/v1/settings?_t=1756474934705 HTTP/1.1" 200 1407 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" rt=0.100
192.168.65.1 - - [29/Aug/2025:21:42:14 +0800] "GET /api/v1/settings/site-config?_t=1756474934705 HTTP/1.1" 200 1108 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" rt=0.101
192.168.65.1 - - [29/Aug/2025:21:42:14 +0800] "GET /api/v1/settings?_t=1756474934705 HTTP/1.1" 200 1409 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" rt=0.006
192.168.65.1 - - [29/Aug/2025:21:42:29 +0800] "GET /api/v1/docs/ HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" rt=0.008
192.168.65.1 - - [29/Aug/2025:21:42:29 +0800] "GET /api/v1/docs/swagger-ui.css HTTP/1.1" 404 942 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" rt=0.000
